,rating_num_weights,rating_average_weight,playing_time,min_age,min_players,max_players,mechanics,categories,families
Dawn of the Zeds (Second edition),56,3.1429,90,13,1,1,"['Campaign / Battle Card Driven', 'Dice Rolling', 'Point to Point Movement', 'Solo / Solitaire Game']","['Horror', 'Zombies']","['Category: Tower Defense', 'Country: USA', 'Creatures: Zombies', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Games', 'Series: States of Siege']"
Agemonia,49,3.2449,120,10,1,4,"['Cooperative Game', 'Dice Rolling', 'Scenario / Mission / Campaign Game', 'Storytelling']","['Adventure', 'Fantasy']","['Category: Dized Tutorial', 'Category: Dungeon Crawler', 'Components: Book as Board', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Digital Implementations: Tabletopia', 'Mechanism: Campaign Games']"
Prophecy,201,2.6368,180,12,2,5,"['Dice Rolling', 'Open Drafting', 'Point to Point Movement', 'Role Playing', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Fighting']",[]
Space Cadets: Away Missions,44,2.6136,120,10,1,6,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Line of Sight', 'Modular Board', 'Variable Player Powers']","['Adventure', 'Fighting', 'Miniatures', 'Science Fiction', 'Space Exploration', 'Wargame']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Creatures: Aliens / Extraterrestrials', 'Crowdfunding: Kickstarter', 'Digital Implementations: Tabletopia', 'Game: Space Cadets', 'Players: Games with Solitaire Rules']"
Circus Maximus,166,2.6205,120,12,2,10,"['Action Points', 'Action Queue', 'Betting and Bluffing', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Paper-and-Pencil', 'Player Elimination', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Variable Player Powers']","['Ancient', 'Fighting', 'Racing']","['Ancient: Rome', 'Animals: Horses', 'Digital Implementations: VASSAL', 'Sports: Chariot Racing', 'Sports: Horse Racing', 'Theme: Gladiators']"
Alone,46,3.2826,120,14,2,4,"['Action Queue', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Modular Board', 'Secret Unit Deployment', 'Team-Based Game']",['Science Fiction'],"['Category: Dungeon Crawler', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Game: Alone', 'Players: One versus Many']"
Arkham Noir: Case #1 – The Witch Cult Murders,58,2.2241,30,14,1,1,"['Hand Management', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game']","['Adventure', 'Card Game', 'Fantasy', 'Horror', 'Novel-based']","['Game: Arkham Noir (Yves Tourigny)', 'Misc: LongPack Games', 'Organizations: Forgenext', 'Players: Solitaire Only Card Games', 'Players: Solitaire Only Games', 'Theme: Cthulhu Mythos', 'Theme: Witches']"
Aventuria: Adventure Card Game,32,2.5312,180,14,1,4,"['Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Dice Rolling', 'Hand Management', 'Narrative Choice / Paragraph', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Player Powers']","['Adventure', 'Card Game', 'Fantasy', 'Fighting']","['Crowdfunding: Kickstarter', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules', 'Setting: Das Schwarze Auge', 'Versions & Editions: Board Game Versions of Role-Playing Games']"
Hostage Negotiator: Crime Wave,20,2.05,20,15,1,1,"['Dice Rolling', 'Hand Management', 'Open Drafting', 'Solo / Solitaire Game']","['Card Game', 'Dice']","['Game: Hostage Negotiator', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Card Games', 'Players: Solitaire Only Games']"
Funkoverse Strategy Game,38,2.1579,60,10,2,4,"['Action Points', 'Dice Rolling', 'Grid Movement', 'Line of Sight', 'Team-Based Game', 'Variable Player Powers']","['Collectible Components', 'Dice', 'Fighting', 'Miniatures']","['Admin: Game System Entries', 'Books: A Song of Ice and Fire', 'Books: Alice in Wonderland', 'Books: Harry Potter', 'Brands: Disney', 'Comic Books: DC Universe', 'Comic Books: Marvel Universe', 'Components: Dice with Icons', 'Folk Tales & Fairy Tales: Peter Pan', 'Movies: Back to the Future', 'Movies: Jaws', 'Movies: Jurassic Park', 'Movies: The Nightmare Before Christmas', 'Movies: Universal Studios Monsters', 'Series: Funkoverse Strategy Game', 'Theme: Superheroes', 'TV Shows: Bugs Bunny', 'TV Shows: Rick and Morty', 'TV Shows: The Golden Girls']"
Witch of Salem,150,2.48,60,10,2,4,"['Action Retrieval', 'Communication Limits', 'Cooperative Game', 'Dice Rolling', 'Set Collection']","['Fantasy', 'Horror', 'Novel-based']","['Series: Literature (Kosmos)', 'Theme: Cthulhu Mythos', 'Theme: Witches']"
"Warhammer 40,000: Kill Team",28,3.4286,60,12,2,4,"['Dice Rolling', 'Line of Sight', 'Measurement Movement', 'Simulation', 'Variable Player Powers']","['Miniatures', 'Science Fiction', 'Wargame']","['Setting: Warhammer 40,000 Wargames']"
Gunslinger,123,3.2927,90,12,2,7,"['Action Queue', 'Grid Movement', 'Hexagon Grid', 'Line of Sight', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Simulation', 'Simultaneous Action Selection', 'Three Dimensional Movement', 'Variable Player Powers', 'Variable Set-up']","['American West', 'Fighting', 'Wargame']",['Country: USA']
Tannhäuser,302,2.7318,120,11,2,10,"['Dice Rolling', 'Line of Sight', 'Point to Point Movement', 'Variable Player Powers']","['Fantasy', 'Fighting', 'Horror', 'Miniatures', 'Science Fiction', 'Spies/Secret Agents', 'Wargame']",['Game: Tannhäuser']
Lost Legacy: Flying Garden,65,1.3231,10,10,2,4,"['Hand Management', 'Memory', 'Player Elimination']","['Bluffing', 'Card Game', 'Deduction']","['Game: Lost Legacy', 'Series: 5 Minute Fun (AEG)', 'Series: Big in Japan (AEG)']"
Warmachine,135,3.5259,60,12,2,4,"['Critical Hits and Failures', 'Once-Per-Game Abilities', 'Variable Player Powers']","['Fantasy', 'Fighting', 'Miniatures']",['Game: Iron Kingdoms']
The Lord of the Rings: The Fellowship of the Ring Deck-Building Game,72,2.1111,30,15,2,5,"['Deck, Bag, and Pool Building']","['Card Game', 'Fantasy', 'Movies / TV / Radio theme', 'Novel-based']","['Authors: J.R.R. Tolkien', 'Game: Cerberus Engine – Middle Earth']"
Commissioned,43,2.814,60,14,2,6,"['Area Movement', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Set Collection', 'Variable Player Powers']","['Ancient', 'Educational', 'Religious']","['Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Players: One versus Many', 'Religious: The Bible']"
Exit: The Game + Puzzle – The Sacred Temple,15,2.4667,180,10,1,4,['Cooperative Game'],[],['Series: Exit: The Game']
Blood Bowl (Second Edition),97,2.866,180,14,2,2,"['Dice Rolling', 'Grid Movement', 'Variable Player Powers']","['Fantasy', 'Fighting', 'Sports']","['Game: Blood Bowl', 'Players: Two-Player Only Games', 'Series: Specialist Games (Games Workshop)', 'Setting: Warhammer Fantasy Board Games', 'Sports: American Football / Gridiron', 'Theme: Fantasy Sports']"
Legendary: A James Bond Deck Building Game,23,2.3913,45,14,1,5,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Solo / Solitaire Game']","['Card Game', 'Movies / TV / Radio theme', 'Spies/Secret Agents']","['Books: James Bond', 'Game: Legendary (Upper Deck Entertainment)', 'Players: Games with Solitaire Rules']"
Robin Hood and the Merry Men,81,3.6667,90,13,1,5,"['Dice Rolling', 'Open Drafting', 'Push Your Luck', 'Semi-Cooperative Game', 'Set Collection', 'Solo / Solitaire Game', 'Variable Player Powers', 'Worker Placement']","['Dice', 'Fighting', 'Medieval']","['Crowdfunding: Kickstarter', 'Folk Tales & Fairy Tales: Robin Hood', 'Players: Games with Solitaire Rules']"
DC Deck-Building Game: Teen Titans,20,2.1,75,15,2,5,"['Deck, Bag, and Pool Building']","['Card Game', 'Comic Book / Strip']","['Comic Books: DC Universe', 'Game: Cerberus Engine – Heroes', 'Theme: Superheroes']"
"UltraQuest: Gold, Ruhm! und Ehre!",30,2.6,600,10,2,5,"['Dice Rolling', 'Paper-and-Pencil', 'Role Playing', 'Storytelling']","['Adventure', 'Fantasy']",[]
Dungeon Saga: Dwarf King's Quest,47,2.4681,120,10,2,5,"['Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Team-Based Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Creatures: Dwarves & Gnomes', 'Crowdfunding: Kickstarter', 'Game: Dungeon Saga', 'Mechanism: Campaign Games']"
Sword & Sorcery: Ancient Chronicles,52,4.4423,180,12,1,5,"['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Creatures: Monsters', 'Crowdfunding: Kickstarter', 'Game: Sword & Sorcery', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules']"
Talisman,462,2.1818,240,9,2,6,"['Dice Rolling', 'Role Playing', 'Roll / Spin and Move', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting']",['Game: Talisman']
Terminator Genisys: Rise of the Resistance,25,2.56,120,14,1,4,"['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Line of Sight', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Tile Placement']","['Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']","['Crowdfunding: Kickstarter', 'Mechanism: Campaign Games', 'Movies: Terminator', 'Players: Games with Solitaire Rules', 'Theme: Post-Apocalyptic']"
The Walking Dead: All Out War,17,2.7647,60,14,1,2,"['Dice Rolling', 'Measurement Movement']","['Comic Book / Strip', 'Miniatures', 'Zombies']","['Comic Books: The Walking Dead', 'Creatures: Zombies', 'Crowdfunding: Kickstarter', 'Game: The Walking Dead – All Out War', 'Players: Games with Solitaire Rules', 'States: Georgia', 'Theme: Post-Apocalyptic']"
First Martians: Adventures on the Red Planet,236,4.1441,90,10,1,4,"['Cooperative Game', 'Dice Rolling', 'Legacy Game', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers', 'Worker Placement']","['Adventure', 'Exploration', 'Science Fiction', 'Space Exploration']","['Components: Digital Hybrid – App/Website Required', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Players: Games with Solitaire Rules', 'Space: Mars', 'Theme: Survival']"
The Red Dragon Inn 4,16,1.8125,60,13,2,4,"['Betting and Bluffing', 'Hand Management', 'Variable Player Powers']","['Card Game', 'Fantasy', 'Humor', 'Medieval', 'Party Game']","['Crowdfunding: Kickstarter', 'Game: The Red Dragon Inn']"
Greenland,91,3.2418,120,12,1,3,"['Auction/Bidding', 'Dice Rolling', 'Simulation', 'Solo / Solitaire Game', 'Worker Placement']","['Card Game', 'Economic', 'Medieval', 'Negotiation']","['Islands: Greenland (Denmark)', 'Mechanism: Tableau Building', 'Players: Games with Solitaire Rules', 'Region: Arctic', 'Series: Dominata', 'Theme: Inuit Peoples', 'Theme: Vikings']"
Pathfinder Adventure Card Game: Mummy's Mask – Base Set,14,2.8571,120,13,1,4,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Move Through Deck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Player Powers']","['Card Game', 'Fantasy', 'Fighting']","['Components: Polyhedral (not D6) dice', 'Creatures: Mummies', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules', 'Series: Pathfinder Adventure Card Game (Paizo Publishing)', 'Setting: Pathfinder']"
Exit: The Game – The Stormy Flight,20,1.85,120,12,1,4,['Cooperative Game'],"['Deduction', 'Puzzle']","['Category: Escape Room Games', 'Series: Exit: The Game']"
Grifters,38,1.7895,30,14,2,4,"['Deck, Bag, and Pool Building', 'Hand Management', 'Set Collection', 'Take That']","['Card Game', 'Mafia']","['Crowdfunding: Kickstarter', 'Setting: Dystopian Universe (Indie Boards & Cards)']"
Remember Our Trip,23,2.1739,30,10,2,4,"['End Game Bonuses', 'Grid Coverage', 'Open Drafting', 'Pattern Building', 'Square Grid', 'Tile Placement', 'Turn Order: Progressive']","['Abstract Strategy', 'Travel']","['Cities: Kyoto (Japan)', 'Cities: Singapore (Singapore)', 'Components: Polyominoes', 'Country: Japan', 'Country: Singapore']"
Solomon Kane,25,3.16,120,0,1,5,"['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Storytelling', 'Variable Player Powers', 'Variable Set-up']","['Adventure', 'Exploration', 'Fantasy', 'Miniatures', 'Novel-based', 'Pirates']","['Crowdfunding: Kickstarter', 'Players: Games with Solitaire Rules']"
Rangers of Shadow Deep,17,2.2941,120,12,1,4,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Role Playing', 'Variable Player Powers']","['Book', 'Dice', 'Fantasy', 'Fighting', 'Miniatures', 'Wargame']","['Components: Miniature agnostic', 'Crowdfunding: Kickstarter', 'Game: Rangers of Shadow Deep', 'Players: Games with Solitaire Rules']"
Darkest Night,69,2.7971,150,13,1,4,"['Cooperative Game', 'Dice Rolling', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Horror']","['Components: Standees', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Darkest Night', 'Players: Games with Solitaire Rules', 'Series: Euro Games (Victory Point Games)']"
Deliverance,41,3.1463,120,14,1,4,"['Action Points', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Legacy Game', 'Modular Board', 'Open Drafting', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Square Grid', 'Storytelling', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Variable Set-up']","['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Mythology', 'Religious']","['Category: Dungeon Crawler', 'Components: Map (City Scale)', 'Components: Miniatures', 'Components: Standees', 'Creatures: Demons', 'Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Players: Games with Solitaire Rules', 'Religious: The Bible']"
Shadowrun: Crossfire – Prime Runner Edition,22,2.9091,60,13,1,4,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Legacy Game', 'Variable Player Powers']","['Adventure', 'Card Game', 'Fantasy', 'Science Fiction']","['Mechanism: Campaign Games', 'Mechanism: Legacy', 'Setting: Shadowrun', 'Theme: Cyberpunk', 'Versions & Editions: Board Game Versions of Role-Playing Games']"
Rallyman: DIRT,25,2.32,60,14,1,6,"['Dice Rolling', 'Different Dice Movement', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Push Your Luck', 'Race', 'Roll / Spin and Move', 'Simulation', 'Solo / Solitaire Game']","['Racing', 'Sports']","['Components: 3-Dimensional (3D)', 'Crowdfunding: Kickstarter', 'Digital Implementations: Tabletopia', 'Players: Games with Solitaire Rules', 'Series: Rallyman', 'Sports: Auto Racing']"
Terror Below,42,1.9048,60,10,1,5,"['Action Points', 'Dice Rolling', 'Grid Movement', 'Pick-up and Deliver', 'Variable Player Powers']","['Horror', 'Science Fiction']",['Crowdfunding: Kickstarter']
Tamashii: Chronicle of Ascend,30,2.9667,180,13,1,4,"['Action Points', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Narrative Choice / Paragraph', 'Pattern Building', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Slide/Push', 'Solo / Solitaire Game', 'Square Grid', 'Variable Player Powers', 'Variable Set-up']","['Adventure', 'Exploration', 'Fighting', 'Miniatures', 'Science Fiction']","['Category: Dungeon Crawler', 'Components: Dice with Icons', 'Components: Hexagonal Tiles', 'Components: Miniatures', 'Components: Polyhedral (not D6) dice', 'Components: Standees', 'Country: Japan', 'Crowdfunding: Gamefound', 'Players: Games with Solitaire Rules', 'Theme: Cyberpunk', 'Theme: Post-Apocalyptic', 'Theme: Robots']"
Detective: A Modern Crime Board Game – Season One,29,2.069,120,12,1,5,"['Cooperative Game', 'Solo / Solitaire Game', 'Storytelling']","['Deduction', 'Murder/Mystery']","['Components: Digital Hybrid – App/Website Required', 'Game: Detective – A Modern Crime Board Game (Portal Games)', 'Misc: LongPack Games', 'Theme: Mystery / Crime']"
Colonial: Europe's Empires Overseas,112,3.4643,120,14,2,6,"['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Simultaneous Action Selection']","['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Territory Building']","['Admin: Better Description Needed!', 'Components: Map (Global Scale)', 'Components: Wooden pieces & boards', 'Country: France', 'Country: Great Britain', 'Country: Netherlands', 'Country: Portugal', 'Country: Spain', 'Crowdfunding: Kickstarter', 'History: Age of Discovery', 'Mechanism: 4X', 'Region: The World', 'Theme: Colonial']"
D.E.I.: Divide et Impera,39,3.1538,90,14,2,4,"['Area Majority / Influence', 'Area Movement', 'End Game Bonuses', 'Three Dimensional Movement', 'Turn Order: Stat-Based', 'Variable Player Powers', 'Variable Set-up']","['Economic', 'Farming', 'Miniatures', 'Science Fiction']","['Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Players: Games with expansions that add solo play', 'Setting: Nova Aetas Chronicles', 'Theme: Post-Apocalyptic']"
The Battle at Kemble's Cascade,65,2.5692,75,13,1,5,"['Bias', 'Grid Movement', 'Hand Management', 'Simultaneous Action Selection', 'Team-Based Game']","['Science Fiction', 'Video Game Theme']",['Players: Games with Solitaire Rules']
Darkest Night: Second Edition,37,3.0541,180,14,1,5,"['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Solo / Solitaire Game', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Horror']","['Components: Standees', 'Crowdfunding: Kickstarter', 'Game: Darkest Night', 'Misc: LongPack Games', 'Players: Games with Solitaire Rules', 'Series: Euro Games (Victory Point Games)']"
Deckscape: Behind the Curtain,16,1.875,60,12,1,6,"['Cooperative Game', 'Real-Time']","['Card Game', 'Puzzle', 'Real-time']","['Category: Escape Room Games', 'Players: Games with Solitaire Rules', 'Series: Deckscape (dV Giochi)']"
Mistfall,129,3.9535,120,14,1,4,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Modular Board', 'Variable Player Powers']","['Adventure', 'Card Game', 'Fantasy']","['Crowdfunding: Kickstarter', 'Crowdfunding: Wspieram', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Digital Implementations: Tabletopia', 'Players: Games with Solitaire Rules', 'Setting: Mistfall']"
Solar Storm,50,2.06,60,10,1,4,"['Action Points', 'Cooperative Game', 'Hand Management', 'Solo / Solitaire Game']","['Card Game', 'Science Fiction']","['Crowdfunding: Kickstarter', 'Digital Implementations: Board Game Arena', 'Digital Implementations: Tabletopia', 'Players: Games with Solitaire Rules']"
The Fury of Dracula,89,2.5955,180,14,2,4,"['Events', 'Hidden Movement', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']","['Adventure', 'Deduction', 'Fighting', 'Horror', 'Novel-based']","['Books: Dracula', 'Components: Map (Continental / National scale)', 'Continents: Europe', 'Creatures: Vampires', 'Game: Fury of Dracula', 'Mechanism: Hidden Movement', 'Players: One versus Many']"
Lux Aeterna,36,2.0,15,10,1,1,"['Hand Management', 'Open Drafting', 'Solo / Solitaire Game']","['Card Game', 'Real-time', 'Science Fiction']","['Players: Games with Solitaire Rules', 'Players: Solitaire Only Card Games', 'Players: Solitaire Only Games']"
Lords of Ragnarok,55,3.7818,180,14,1,4,"['Area Majority / Influence', 'Area Movement', 'Card Play Conflict Resolution', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Solo / Solitaire Game', 'Variable Player Powers', 'Worker Placement']","['Fantasy', 'Miniatures', 'Mythology', 'Science Fiction', 'Wargame']","['Components: Miniatures', 'Mythology: Norse']"
Adventure Games: Monochrome Inc.,39,1.9231,75,16,1,4,"['Cooperative Game', 'Narrative Choice / Paragraph']",[],"['Misc: Limited Replayability', 'Series: Adventure Games (Kosmos)']"
Heroes Wanted,80,2.6125,45,13,1,5,"['Action Retrieval', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Pick-up and Deliver', 'Solo / Solitaire Game', 'Variable Player Powers']","['Adventure', 'Comic Book / Strip', 'Fighting']","['Components: Multi-Use Cards', 'Crowdfunding: Kickstarter', 'Players: Games with Solitaire Rules', 'Theme: Superheroes']"
Return of the Heroes,243,2.3621,90,10,1,4,"['Dice Rolling', 'Modular Board', 'Pick-up and Deliver', 'Point to Point Movement', 'Role Playing', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy']","['Category: Sandbox Without Win Condition', 'Components: Gems/Crystals', 'Components: Rocks/Stones', 'Players: Games with Solitaire Rules']"
Summit: The Board Game,31,2.3548,180,14,1,6,"['Area Majority / Influence', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Network and Route Building', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck', 'Race', 'Solo / Solitaire Game', 'Take That', 'Tile Placement', 'Variable Phase Order', 'Variable Player Powers']","['Adventure', 'Environmental', 'Exploration', 'Racing']","['Components: Dice with Icons', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Sports: Mountain Climbing', 'Theme: Survival']"
Vienna Connection,19,2.0,180,16,1,5,"['Cooperative Game', 'Narrative Choice / Paragraph', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling']","['Deduction', 'Murder/Mystery', 'Spies/Secret Agents', 'Travel']","['Cities: Vienna (Austria)', 'Components: Digital Hybrid – App/Website Required', ""Decades: The 1970's"", 'Game: Detective – A Modern Crime Board Game (Portal Games)', 'History: Cold War', 'Mechanism: Campaign Games', 'Misc: LongPack Games', 'Players: Games with Solitaire Rules']"
Sherlock: Last Call,25,1.56,60,10,1,8,"['Communication Limits', 'Cooperative Game', 'Hand Management', 'Memory']","['Card Game', 'Deduction', 'Murder/Mystery']",['Series: Q System – Sherlock (GDM Games)']
Buffy the Vampire Slayer: The Game,155,2.0065,90,12,2,5,"['Role Playing', 'Roll / Spin and Move', 'Team-Based Game', 'Variable Player Powers']","['Horror', 'Movies / TV / Radio theme']","['Admin: Better Description Needed!', 'Creatures: Vampires', 'TV Shows: Buffy the Vampire Slayer']"
Scooby-Doo: Escape from the Haunted Mansion,18,1.8889,120,12,1,99,"['Cooperative Game', 'Narrative Choice / Paragraph']",['Movies / TV / Radio theme'],"['Category: Escape Room Games', 'Series: Coded Chronicles Game (The OP)', 'Theme: Spooky Old Houses', 'TV Shows: Scooby-Doo']"
Mythwind,39,2.8205,60,13,1,4,"['Cooperative Game', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Worker Placement', 'Worker Placement with Dice Workers']","['Adventure', 'City Building', 'Civilization', 'Fantasy', 'Farming', 'Mythology']","['Admin: Better Description Needed!', 'Category: Sandbox Without Win Condition', 'Components: Game Trayz Inside', 'Crowdfunding: Kickstarter', 'Misc: LongPack Games']"
Battlestations,153,3.3987,240,12,2,8,"['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Square Grid', 'Team-Based Game']","['Science Fiction', 'Wargame']","['Creatures: Aliens / Extraterrestrials', 'Digital Implementations: VASSAL', 'Game: Battlestations', 'Players: One versus Many']"
DC Deck-Building Game: Rivals – Batman vs The Joker,24,1.875,30,15,2,2,"['Deck, Bag, and Pool Building']","['Card Game', 'Comic Book / Strip']","['Comic Books: Batman', 'Comic Books: DC Universe', 'Game: Cerberus Engine – Heroes', 'Players: Two-Player Only Games']"
City of Remnants,76,3.1447,90,13,2,4,"['Action Points', 'Area Majority / Influence', 'Auction/Bidding', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Open Drafting', 'Tile Placement', 'Variable Player Powers', 'Worker Placement']","['Dice', 'Economic', 'Fighting', 'Miniatures', 'Science Fiction', 'Territory Building']","['Components: Miniatures', 'Creatures: Aliens / Extraterrestrials', 'Theme: Cyberpunk']"
Rivet Wars: Eastern Front,53,2.3962,30,14,2,2,"['Dice Rolling', 'Grid Movement', 'Modular Board', 'Variable Player Powers']","['Miniatures', 'Wargame']","['Components: Miniatures', 'Crowdfunding: Kickstarter', 'Game: Rivet Wars', 'Players: Two-Player Only Games', 'Theme: Alternate History', 'Theme: Anime / Manga', 'Theme: Chibis']"
Trogdor!!: The Board Game,29,1.8621,60,14,1,6,"['Action Retrieval', 'Action/Event', 'Area Majority / Influence', 'Area Movement', 'Cooperative Game', 'Finale Ending', 'Grid Movement']","['Adventure', 'Humor', 'Miniatures', 'Party Game', 'Puzzle']","['Creatures: Dragons', 'Crowdfunding: Kickstarter']"
Camp Grizzly,39,1.9744,60,14,1,6,"['Cooperative Game', 'Player Elimination']","['Fighting', 'Horror', 'Humor', 'Mature / Adult']","['Crowdfunding: Kickstarter', ""Decades: The 1970's"", 'Movies: Horror Movies', 'Theme: Retro']"
Mutant Chronicles: Siege of the Citadel,90,2.2333,120,10,2,5,"['Action Points', 'Grid Movement', 'Modular Board', 'Variable Player Powers']","['Science Fiction', 'Wargame']","['Category: Dungeon Crawler', 'Components: 3-Dimensional (3D)', 'Mechanism: Campaign Games', 'Players: One versus Many', 'Setting: Mutant Chronicles']"
Unlock!: Secret Adventures – Tombstone Express,13,2.1538,60,10,1,6,"['Cooperative Game', 'Memory', 'Storytelling']","['American West', 'Card Game', 'Deduction', 'Exploration', 'Puzzle', 'Real-time', 'Trains']","['Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Series: Unlock! (Space Cowboys)']"
Votes for Women,31,2.3871,75,12,1,4,"['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Solo / Solitaire Game']","['Political', 'Post-Napoleonic']","['Country: USA', 'Crowdfunding: Kickstarter', 'Digital Implementations: Rally the Troops', 'Misc: LongPack Games', 'Players: Games with Solitaire Rules', ""Political: Women's Suffrage"", 'Theme: Art style – Art Deco']"
Karmaka,62,1.9355,60,13,2,4,"['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting', 'Set Collection', 'Take That']","['Animals', 'Card Game', 'Religious']","['Crowdfunding: Kickstarter', 'Digital Implementations: Tabletopia', 'Religious: Buddhism']"
Assault on Doomrock,58,3.1552,150,10,1,4,"['Cooperative Game', 'Dice Rolling', 'Modular Board', 'Role Playing', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Humor', 'Zombies']","['Category: Dungeon Crawler', 'Creatures: Dragons', 'Creatures: Goblins', 'Creatures: Zombies', 'Crowdfunding: Indiegogo', 'Crowdfunding: Kickstarter', 'Digital Implementations: VASSAL', 'Players: Games with Solitaire Rules', 'Theme: Boss Battle']"
The Dwarves,55,2.5455,90,10,2,5,"['Cooperative Game', 'Dice Rolling']","['Fantasy', 'Novel-based', 'Wargame']","['Creatures: Dwarves & Gnomes', 'Crowdfunding: Kickstarter']"
1st & Goal,115,1.8,150,13,2,4,"['Dice Rolling', 'Hand Management', 'Simultaneous Action Selection']","['Card Game', 'Dice', 'Sports']",['Sports: American Football / Gridiron']
